dish_name,normalized_name,source_site,source_url,source_type,rating,review_count,recipe_count,quality_filter,note
その他のカレー,その他のカレー,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-1168/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
カレー 付け合わせ,カレー付け合わせ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-307-2175/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
牛丼,牛丼,楽天レシピ,https://recipe.rakuten.co.jp/category/30-303/,category_with_recipe_count,,,2476,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
親子丼,親子丼,楽天レシピ,https://recipe.rakuten.co.jp/category/30-304/,category_with_recipe_count,,,2731,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
豚の生姜焼き,豚の生姜焼き,楽天レシピ,https://recipe.rakuten.co.jp/category/30-305/,category_with_recipe_count,,,5227,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
グラタン,グラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306/,category_with_recipe_count,,,11326,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
マカロニグラタン,マカロニグラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1148/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
チキングラタン,チキングラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1152/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
シーフードグラタン,シーフードグラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1151/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ミートグラタン,ミートグラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1150/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ポテトグラタン,ポテトグラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1147/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
かぼちゃのグラタン,かぼちゃのグラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1149/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
和風グラタン,和風グラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1153/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
豆腐グラタン,豆腐グラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1155/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
スパグラ(スパゲティーグラタン),スパグラスパゲティーグラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1154/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
その他のグラタン,その他のグラタン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-306-1156/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
唐揚げ,からあげ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-309/,category_with_recipe_count,,,13927,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
鶏のから揚げ,鶏のからあげ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-309-1173/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
カレイの唐揚げ,カレイのからあげ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-309-1174/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
たこの唐揚げ,たこのからあげ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-309-1175/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
手羽先の唐揚げ,手羽先のからあげ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-309-1176/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
その他のから揚げ,その他のからあげ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-309-1177/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
コロッケ,コロッケ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-310/,category_with_recipe_count,,,7459,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
ポテトコロッケ,ポテトコロッケ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-310-1181/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
クリームコロッケ,クリームコロッケ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-310-1179/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
かぼちゃコロッケ,かぼちゃコロッケ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-310-1178/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
さつまいもコロッケ,さつまいもコロッケ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-310-1184/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
里芋コロッケ,里芋コロッケ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-310-1183/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
おからコロッケ,おからコロッケ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-310-1182/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
